date,bennet,biden,bloomberg,buttigieg,gabbard,klobuchar,patrick,sanders,steyer,warren,yang
2020-02-11,0,1.0,0,0,0,0,0,0,0,0,0
2020-02-12,0,1.0,0,0,0,0,0,0,0,0,0
2020-02-14,0,1.0,1.0,0,0,0,0,0,0,4,0
2020-02-15,0,1.0,0.3333333333333333,0,0,0,0,0,0,0,0
2020-02-16,0,4,0,0,0,0,0,0,0,0,0
2020-02-17,0,0.6666666666666666,0,0,0,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0,0,0,0,4,0
2020-02-19,0,0,0,0,0,0,0,0.5,0,0.5,0
2020-02-20,0,4,0,0,0,0,0,1,0,0,0
2020-02-21,0,1.0,0,0,0,0,0,2.0,0,0,0
2020-02-23,0,0,0,0,0,0,0,1.0,0,0,0
2020-02-24,0,0.0,0,0,0,0,0,0,0,0,0
2020-02-25,0,0.0,0,0,0,0,0,0.0,0,0,0
2020-02-26,0,1.0,0,0,0,0,0,0,0,0,0
2020-02-27,0,2.0,0,0,0,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0,0,1.5,0,0,0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0
